,roll_no,name,exam1,exam2,final_exam,obtain,total,per,grade,class
0,SMIT/DSAI/001,David Iqbal,20,16,35,71,100,71.0,B,DSAI
1,SMIT/DSAI/002,Ahmed Ahmed,13,7,40,60,100,60.0,C,DSAI
2,SMIT/DSAI/003,John Zahid,13,24,47,84,100,84.0,A,DSAI
3,SMIT/DSAI/004,David Brown,0,15,24,39,100,39.0,F,DSAI
4,SMIT/DSAI/005,Fatima Khan,20,8,6,34,100,34.0,F,DSAI
5,SMIT/DSAI/006,Ayesha Ali,4,21,50,75,100,75.0,B,DSAI
6,SMIT/DSAI/007,Michael Brown,25,13,4,42,100,42.0,F,DSAI
7,SMIT/DSAI/008,Fatima Smith,23,2,8,33,100,33.0,F,DSAI
8,SMIT/DSAI/009,David Hussain,21,1,41,63,100,63.0,C,DSAI
9,SMIT/DSAI/010,Ali Ali,21,22,22,65,100,65.0,C,DSAI
10,SMIT/DSAI/011,Ahmed Johnson,1,18,33,52,100,52.0,C,DSAI
11,SMIT/DSAI/012,Michael Hussain,0,15,15,30,100,30.0,F,DSAI
12,SMIT/DSAI/013,Sara Smith,20,7,6,33,100,33.0,F,DSAI
13,SMIT/DSAI/014,Noor Malik,7,14,10,31,100,31.0,F,DSAI
14,SMIT/DSAI/015,Ahmed Zahid,0,19,27,46,100,46.0,F,DSAI
15,SMIT/DSAI/016,Hina Johnson,18,25,9,52,100,52.0,C,DSAI
16,SMIT/DSAI/017,David Zahid,8,6,26,40,100,40.0,F,DSAI
17,SMIT/DSAI/018,Sara Ali,20,13,23,56,100,56.00000000000001,C,DSAI
18,SMIT/DSAI/019,Michael Zahid,20,20,25,65,100,65.0,C,DSAI
19,SMIT/DSAI/020,John Hussain,14,25,1,40,100,40.0,F,DSAI
20,SMIT/DSAI/021,Hina Brown,21,11,26,58,100,57.99999999999999,C,DSAI
21,SMIT/DSAI/022,Noor Ali,17,9,16,42,100,42.0,F,DSAI
22,SMIT/DSAI/023,Ayesha Johnson,21,16,10,47,100,47.0,F,DSAI
23,SMIT/DSAI/024,Hina Zahid,9,17,24,50,100,50.0,F,DSAI
24,SMIT/DSAI/025,Hina Malik,22,14,25,61,100,61.0,C,DSAI
25,SMIT/DSAI/026,David Ali,10,19,10,39,100,39.0,F,DSAI
26,SMIT/DSAI/027,Fatima Hussain,13,0,13,26,100,26.0,F,DSAI
27,SMIT/DSAI/028,Michael Brown,1,6,8,15,100,15.0,F,DSAI
28,SMIT/DSAI/029,Ayesha Hussain,2,25,35,62,100,62.0,C,DSAI
29,SMIT/DSAI/030,David Malik,12,21,17,50,100,50.0,F,DSAI
30,SMIT/DSAI/031,Sara Zahid,6,1,16,23,100,23.0,F,DSAI
31,SMIT/DSAI/032,John Khan,15,24,28,67,100,67.0,C,DSAI
32,SMIT/DSAI/033,Ahmed Ali,8,6,17,31,100,31.0,F,DSAI
33,SMIT/DSAI/034,David Malik,21,1,27,49,100,49.0,F,DSAI
34,SMIT/DSAI/035,Ayesha Zahid,25,0,11,36,100,36.0,F,DSAI
35,SMIT/DSAI/036,Ayesha Smith,1,16,42,59,100,59.0,C,DSAI
36,SMIT/DSAI/037,Ahmed Johnson,24,12,25,61,100,61.0,C,DSAI
37,SMIT/DSAI/038,Ahmed Zahid,24,11,17,52,100,52.0,C,DSAI
38,SMIT/DSAI/039,Noor Zahid,18,13,49,80,100,80.0,B,DSAI
39,SMIT/DSAI/040,David Hussain,21,2,18,41,100,41.0,F,DSAI
40,SMIT/DSAI/041,Fatima Zahid,18,0,25,43,100,43.0,F,DSAI
41,SMIT/DSAI/042,John Ali,22,13,12,47,100,47.0,F,DSAI
42,SMIT/DSAI/043,Ahmed Ahmed,23,2,11,36,100,36.0,F,DSAI
43,SMIT/DSAI/044,Ahmed Brown,7,7,26,40,100,40.0,F,DSAI
44,SMIT/DSAI/045,Ayesha Ali,15,0,10,25,100,25.0,F,DSAI
45,SMIT/DSAI/046,John Iqbal,1,4,26,31,100,31.0,F,DSAI
46,SMIT/DSAI/047,Fatima Hussain,22,21,4,47,100,47.0,F,DSAI
47,SMIT/DSAI/048,David Brown,7,16,11,34,100,34.0,F,DSAI
48,SMIT/DSAI/049,Sara Khan,22,5,35,62,100,62.0,C,DSAI
49,SMIT/DSAI/050,Fatima Smith,17,4,49,70,100,70.0,C,DSAI
